word	tstart	tstop	logWF	surprisal
radio	0.210	5.040	4.142	4.142
boeken	5.040	9.430	4.163	4.633
verhalen	9.430	11.440	4.265	3.591
van	11.440	11.630	2.061	1.420
nederlandse	11.630	12.355	4.023	2.816
en	12.355	12.520	1.787	1.233
vlaamse	12.520	12.990	4.433	0.739
auteurs	12.990	13.510	4.676	1.675
die	13.510	13.580	2.209	1.351
nergens	13.610	14.400	4.668	4.064
kunt	14.400	14.590	4.775	5.758
lezen	14.590	14.960	4.581	2.826
maar	15.060	15.210	2.559	1.781
altijd	15.210	15.570	3.774	3.296
en	15.570	15.660	1.787	2.341
overal	15.660	16.590	4.306	0.693
kunt	16.590	16.950	4.775	5.542
beluisteren	16.950	17.610	5.568	5.817
milan	17.610	18.610	4.962	5.235
hij	18.610	24.720	3.263	3.019
zag	24.890	25.310	3.637	3.182
er	25.870	25.900	3.175	1.557
helemaal	28.400	29.465	4.049	2.580
uit	29.465	29.680	2.480	1.509
als	30.120	30.275	2.491	2.933
een	30.275	30.330	2.213	0.930
normale	30.330	30.860	4.862	2.313
jongen	30.860	31.160	4.555	2.002
hij	32.240	32.310	3.263	2.691
had	32.310	32.480	2.766	2.396
armen	32.580	32.930	4.720	5.956
twee	33.490	33.900	3.289	2.928
benen	34.610	35.070	4.995	3.824
ook	35.700	35.940	2.651	2.812
twee	35.940	36.240	3.289	2.634
met	36.980	37.130	2.302	2.843
aan	37.130	37.250	2.485	2.719
de	37.250	37.290	2.165	0.397
uiteinden	37.290	37.850	5.131	1.943
de	37.850	37.960	2.165	2.037
nodige	37.960	38.390	5.670	3.603
handen	38.390	38.720	4.575	4.918
en	38.720	38.870	1.787	1.255
voeten	38.870	39.230	4.937	1.058
en	39.640	39.760	1.787	1.212
dan	39.760	39.930	3.101	3.168
daaraan	39.930	40.310	4.738	6.031
weer	40.310	40.460	3.156	3.133
een	40.460	40.550	2.213	1.510
heleboel	40.550	40.970	6.428	3.867
vingers	40.970	41.400	5.033	5.148
en	41.470	41.680	1.787	1.163
tenen	41.680	42.010	5.291	0.617
telkens	42.480	42.880	4.184	4.913
tien	42.940	43.160	4.070	2.975
om	43.650	43.740	2.698	2.523
precies	43.800	44.120	4.161	3.790
te	44.210	44.270	2.374	0.116
zijn	44.270	44.490	2.381	0.045
dan	45.520	45.650	3.101	2.473
had	45.650	45.840	2.766	3.162
hij	45.840	45.900	3.263	0.681
ook	45.900	46.070	2.651	1.697
een	46.070	46.200	2.213	0.748
een	46.330	46.480	2.213	3.562
buik	46.480	46.830	4.986	5.139
met	47.620	47.750	2.302	1.221
zo	47.750	47.860	3.358	3.470
een	47.860	47.930	2.213	1.351
gekke	47.930	48.190	5.425	5.108
