-ie;i
a;a:
aan;a: n
aanbieden;a: m b i d @
aanbod;a: m b O t
aandacht;a: n d A x t
aandeel;a: n d e: l
aandelen;a: n d e: l @
aandoen;a: n d u n
aandoet;a: n d u t
aangaan;a: N G a: n
aangaat;a: N G a: t
aangeboden;a: N G @ b o: d @
aangedaan;a: N G @ d a: n
aangegeven;a: N G @ G e: v @
aangehouden;a: N G @ h Au d @
aangeklaagd;a: N G @ k l a: x t
aangekleed;a: N G @ k l e: t
aangekomen;a: N G @ k o: m @
aangenaam;a: N G @ n a: m
aangename;a: N G @ n a: m @
aangenomen;a: N G @ n o: m @
aangepakt;a: N G @ p A k t
aangepast;a: N G @ p A s t
aangeraakt;a: N G @ r a: k t
aangereden;a: N G @ r e: d @
aangesloten;a: N G @ s l o: t @
aangetroffen;a: N G @ t r O f @
aangetrokken;a: N G @ t r O k @
aangevallen;a: N G @ v A l @
aangeven;a: N G e: v @
aangewezen;a: N G @ w e: z @
aangezet;a: N G @ z E t
aangezien;a: N G @ z i n
aangifte;a: N G I f t @
aanhoren;a: n h o: r @
aanhouden;a: n h Au d @
aankan;a: N k A n
aankijken;a: N k Ei k @
aanklacht;a: N k l A x t
aanklachten;a: N k l A x t @
aanklagen;a: N k l a: G @
aanklager;a: N k l a: G @ r
aankleden;a: N k l e: d @
aankomen;a: N k o: m @
aankomst;a: N k O m s t
aankomt;a: N k O m t
aankwam;a: N k w A m
aannemen;a: n e: m @
aanpak;a: m p A k
aanpakken;a: m p A k @
aanpassen;a: m p A s @
aanraakt;a: n r a: k t
aanraken;a: n r a: k @
aanslag;a: n s l A x
aansluiten;a: n s l ui t @
aanstaande;a: n s t a: n d @
aansteker;a: n s t e: k @ r
aantal;a: n t A l
aantekeningen;a: n t e: k @ n I N @
aantrekkelijk;a: n t r E k @ l @ k
aantrekken;a: n t r E k @
aanvaard;a: n v a: r t
aanvaarden;a: n v a: r d @
aanval;a: n v A l
aanvallen;a: n v A l @
aanvoerder;a: n v u r d @ r
aanvraag;a: n v r a: x
aanwezig;a: n w e: z @ x
aanwezigheid;a: n w e: z @ x h Ei t
aanwijzing;a: n w Ei z I N
aanwijzingen;a: n w Ei z I N @
aanzetten;a: n z E t @
aanzien;a: n z i n
aanzoek;a: n z u k
aap;a: p
aard;a: r t
aardappelen;a: r d A p @ l @
aardbeien;a: r d b Ei j @
aardbeving;a: r d b e: v I N
aarde;a: r d @
aardig;a: r d @ x
aardige;a: r d @ G @
aaron;a: r O n
aas;a: s
abby;b i
abel;a: b @ l
abortus;a: b O r t u s
absolute;A p s o: l y t e:
absoluut;A p s o: l y t
absurd;A p s u r t
academie;a: k a: d e: m i
accent;A k s E n t
accepteer;A k s E p t e: r
accepteert;A k s E p t e: r t
accepteren;A k s E p t e: r @
accountant;A k Au n t @ n t
ach;A x
acht;A x t
achtendertig;A x t E n d E r t @ x
achtentien;A x t E n t i n
achtentwintig;A x t E n t w I n t @ x
achtenveertig;A x t @ v e: r t @ x
achter;A x t @ r
achteraan;A x t @ r a: n
achteraf;A x t @ r A f
achterbank;A x t @ r b A N k
achterdeur;A x t @ r d 9: r
achterdochtig;A x t @ r d O x t @ x
achteren;A x t @ r @
achtergelaten;A x t @ r G @ l a: t @
achtergrond;A x t @ r G r O n t
achterhalen;A x t @ r h a: l @
achterin;A x t @ r I n
achterkant;A x t @ r k A n t
achterlaten;A x t @ r l a: t @
achterliet;A x t @ r l i t
achterlijk;A x t @ r l @ k
achterlijke;A x t @ r l @ k @
achterna;A x t @ r n a:
achternaam;A x t @ r n a: m
achterom;A x t @ r O m
achterover;A x t @ r o: v @ r
achterste;A x t @ r s t @
achtertuin;A x t @ r t ui n
achteruit;A x t @ r ui t
achtervolgd;A x t @ r v O l x t
achtervolgen;A x t @ r v O l G @
achtervolging;A x t @ r v O l G I N
achtervolgt;A x t @ r v O l x t
achthonderd;A x t h O n d @ r t
achtste;A x t s t @
achttien;A x t i n
act;A k t
acteren;A k t e: r @
acteur;A k t 9: r
acteurs;A k t 9: r s
actie;A k s i
